title,url,comment
The Great Hunt,https://s3.amazonaws.com/tjohn/the_great_hunt.jpg,"This was a bit dissapointing after the first book, the characters where never really developed or grew.
"
Moonwalking With Einstein,https://s3.amazonaws.com/tjohn/moonwalking_with_einstein.jpg,"A very entertaining story, although not very practicle it gives a great insight to many parlor tricks and some good tips on keeping your memory fresh."
The Eye of the World,https://s3.amazonaws.com/tjohn/the_eye_of_the_world.jpg,""
A Game of Thrones,https://s3.amazonaws.com/tjohn/a_game_of_thrones.jpg ,"Really a great read, there is so much depth and every character feels very well constructed.
"
"Surely You're Joking, Mr. Feynmen!",https://s3.amazonaws.com/tjohn/surely_youre_joking_mr_eynman.jpeg ,"My favorite book, Feynmen is pure genius."
A Storm of Swords,https://s3.amazonaws.com/tjohn/a_storm_of_swords.jpg ,""
Atlas Shrugged,https://s3.amazonaws.com/tjohn/atlas_shrugged.jpg ,"This book was a tough read, Rand really loves to knock you over the head with her beliefs. I did enjoy the book, but had to skim a few chapters just to get through it.
"
Catching Fire,https://s3.amazonaws.com/tjohn/catching_fire.jpg ,""
Foundation,https://s3.amazonaws.com/tjohn/foundation.jpg ,""
Mockingjay,https://s3.amazonaws.com/tjohn/mockingjay.jpg ,""
The Fountainhead,https://s3.amazonaws.com/tjohn/the_fountainhead.JPG ,""
Lies My Teacher Told Me,https://s3.amazonaws.com/tjohn/lies_my_teacher_told_me.jpg ,"Very interesting, it is a great book to just pick up and read a chapter when you have time.
"
Foundation and Earth,https://s3.amazonaws.com/tjohn/foundation_and_earth.jpg ,""
Open,https://s3.amazonaws.com/tjohn/open.jpg,A great book for any tennis fans. Agassi does a great job explaining the pressures that he had to deal with as a pro athlete.
Life of PI,https://s3.amazonaws.com/tjohn/life_of_pi.jpg,"I had a tough time getting through this book, but I really enjoyed the imagery. "
Mind Gym,https://s3.amazonaws.com/tjohn/mind_gym.jpg,"This book really helps you mentally prepare for challenges. I found it most useful when applied to athletics, but I am sure some of it could be applied to other areas in life."
The Hitchhiker's Guide to the Galaxy,https://s3.amazonaws.com/tjohn/hitchhickers_guide_to_the_galaxy.jpg,42.
